"Site_Zone","mean_percent_sgd","mean_TA","mean_pH","mean_Phosphate","mean_NN"
"BP.Diffuse",1.5951511335,2267.68009235,8.1001,0.1785,1.9415
"W.Diffuse",0.830991602125,2236.32864575,8.1048125,0.09,0.3
