word,freq
plans,61
practical,61
sit,61
south,61
stair,61
swear,61
thrown,61
walking,61
amazement,60
charge,60
escape,60
huge,60
inquiry,60
learn,60
monday,60
morstan,60
thousand,60
wished,60
worth,60
bicycle,59
butler,59
green,59
guard,59
lies,59
prisoner,59
result,59
servant,59
alarm,58
attempt,58
circumstances,58
clean,58
covered,58
dressing,58
evil,58
explained,58
ferrier,58
form,58
formed,58
hudson,58
living,58
moved,58
natural,58
picture,58
pounds,58
purpose,58
scotland,58
seated,58
smoke,58
statement,58
suggested,58
bright,57
burst,57
captain,57
clothes,57
conclusion,57
fairly,57
harm,57
lonely,57
reading,57
remains,57
unfortunate,57
act,56
astonishment,56
bound,56
brain,56
easily,56
finished,56
folk,56
german,56
instantly,56
lad,56
lane,56
meant,56
mother,56
murderer,56
post,56
proved,56
sleep,56
staring,56
subject,56
worse,56
beard,55
finding,55
grey,55
kindly,55
putting,55
spot,55
thinking,55
yards,55
arrest,54
bit,54
chain,54
desire,54
excuse,54
hung,54
justice,54
lives,54
locked,54
occasion,54
paid,54
pair,54
peculiar,54
undoubtedly,54
america,53
building,53
draw,53
drebber,53
fallen,53
future,53
glasses,53
lead,53
mycroft,53
rich,53
roof,53
suggest,53
traces,53
bottom,52
double,52
edge,52
fair,52
fifty,52
hill,52
inquiries,52
jones,52
knowing,52
methods,52
opposite,52
powers,52
sheet,52
smiled,52
smiling,52
wedding,52
wind,52
colour,51
ha,51
horrible,51
lawn,51
lower,51
mad,51
piece,51
queer,51
real,51
sergeant,51
strength,51
swiftly,51
absolute,50
approached,50
baldwin,50
court,50
discovered,50
driven,50
headed,50
lock,50
loved,50
mary,50
narrative,50
naturally,50
plain,50
practice,50
search,50
terror,50
trap,50
woman's,50
women,50
beg,49
catch,49
devil,49
drawing,49
feared,49
forever,49
fortune,49
job,49
killed,49
laughing,49
medical,49
moriarty,49
quietly,49
silver,49
suspicion,49
vague,49
advertisement,48
cleared,48
cottage,48
fierce,48
glancing,48
narrow,48
page,48
remain,48
results,48
rising,48
seat,48
shut,48
sun,48
thrust,48
trees,48
bank,47
bear,47
books,47
committed,47
dull,47
eleven,47
excitement,47
fixed,47
hot,47
match,47
nerves,47
ordinary,47
photograph,47
possession,47
remark,47
sank,47
slip,47
spring,47
stay,47
tobacco,47
watched,47
acquaintance,46
admit,46
anxious,46
assistance,46
claim,46
date,46
envelope,46
farther,46
fog,46
glimpse,46
heels,46
hiding,46
interview,46
leaned,46
luck,46
murdered,46
passing,46
rough,46
savage,46
solution,46
throat,46
von,46
warning,46
weapon,46
whispered,46
agent,45
boat,45
concerned,45
county,45
deeply,45
dinner,45
eager,45
excited,45
figures,45
filled,45
frightened,45
hunter,45
land,45
lantern,45
loose,45
neck,45
nose,45
notes,45
professional,45
rapidly,45
seized,45
sense,45
shining,45
slipped,45
stangerson,45
village,45
weary,45
added,44
affairs,44
alive,44
anger,44
baronet,44
british,44
children,44
correct,44
disappearance,44
dozen,44
escaped,44
exceedingly,44
fingers,44
fit,44
forced,44
giving,44
honour,44
prevent,44
scent,44
seldom,44
slight,44
stretched,44
telling,44
test,44
unusual,44
arrested,43
bird,43
blind,43
career,43
contrary,43
disappeared,43
failed,43
grass,43
grounds,43
habits,43
heavily,43
judge,43
main,43
move,43
perceive,43
pleasure,43
prepared,43
presume,43
probable,43
share,43
simply,43
sinister,43
stop,43
suit,43
violence,43
worn,43
description,42
effort,42
forget,42
grave,42
gun,42
household,42
innocent,42
intention,42
lady's,42
laugh,42
lose,42
named,42
north,42
river,42
rope,42
school,42
settled,42
spoken,42
sunk,42
talking,42
bag,41
breath,41
burned,41
carpet,41
corridor,41
document,41
famous,41
frank,41
handsome,41
indian,41
knees,41
lines,41
local,41
meaning,41
mentioned,41
month,41
occasionally,41
recovered,41
served,41
smoking,41
sum,41
understood,41
appointment,40
begin,40
beginning,40
beneath,40
connected,40
examine,40
forehead,40
godfrey,40
grace,40
horses,40
jefferson,40
kitchen,40
mistake,40
moving,40
pistol,40
reasoning,40
shrugged,40
simon,40
stepped,40
upstairs,40
utmost,40
weak,40
witness,40
amid,39
bearing,39
bridge,39
convict,39
drink,39
east,39
elderly,39
false,39
gown,39
grew,39
guilty,39
hoped,39
macdonald,39
memory,39
mysterious,39
noticed,39
phelps,39
rain,39
sea,39
special,39
victim,39
wilson,39
wire,39
arthur,38
cast,38
chamber,38
chicago,38
cigarette,38
constable,38
cunning,38
fail,38
familiar,38
firm,38
hopes,38
hurry,38
imagined,38
immediately,38
knocked,38
leaning,38
madam,38
mile,38
quickly,38
rise,38
ship,38
shortly,38
sofa,38
succeeded,38
success,38
thumb,38
upper,38
advantage,37
bodymaster,37
conceal,37
difficulties,37
drop,37
due,37
flushed,37
forty,37
french,37
friend's,37
housekeeper,37
loud,37
major,37
makes,37
morris,37
motive,37
shaken,37
shock,37
sooner,37
walls,37
weight,37
apparently,36
arranged,36
bar,36
bowed,36
breast,36
brow,36
capable,36
chin,36
circle,36
club,36
concealed,36
credit,36
dining,36
essential,36
existence,36
fastened,36
gang,36
holding,36
hole,36
hut,36
joseph,36
king,36
leading,36
loss,36
mistaken,36
powerful,36
quarters,36
record,36
remembered,36
retired,36
satisfaction,36
scattered,36
shaking,36
speaking,36
streets,36
suggestive,36
suspicions,36
task,36
thaddeus,36
tregennis,36
unknown,36
valuable,36
war,36
wonderful,36
wound,36
allowed,35
bore,35
boss,35
central,35
chest,35
conduct,35
contents,35
curtain,35
definite,35
delicate,35
detail,35
extreme,35
father's,35
field,35
flight,35
furnished,35
heavens,35
inn,35
legs,35
listen,35
perfect,35
played,35
presently,35
proof,35
reasons,35
reply,35
scandal,35
throwing,35
tracks,35
uncle,35
worst,35
aid,34
angry,34
beat,34
birlstone,34
bork,34
cap,34
curiosity,34
doors,34
driving,34
duke,34
eagerly,34
food,34
formidable,34
gloom,34
heads,34
