STATENAME,ST_CASE,FATALS,VE_TOTAL,COUNTY,CITY,MONTH,MONTHNAME,DAY,DAY_WEEK,YEAR,HOUR,URBAN-RURAL,LONGITUDE,LATITUDE,HARM_EV,LGT_COND,WEATHER,Vehicle_Make,Accident_Involved,Vehicle_Type
Hawaii,150090,2,1,HONOLULU,KANE`OHE,December,31,31,Sunday,2023,21,Urban,21.44130278,-157.8321694,Tree (Standing Only),Dark - Lighted,Clear,Honda 450-749 cc,Motor Vehicle In-Transport,Two Wheel Motorcycle (excluding motor scooters)
Hawaii,150091,1,3,HONOLULU,KANE`OHE,July,24,24,Monday,2023,15,Urban,21.37712222,-157.7831444,Motor Vehicle In-Transport,Daylight,Not Reported,Ford E-Series Van/Econoline,Motor Vehicle In-Transport,"4-door sedan, hardtop"
Hawaii,150094,1,1,MAUI,KIHEI,July,23,23,Sunday,2023,1,Urban,20.76882778,-156.4588139,Pedestrian,Dark - Not Lighted,Clear,Yamaha 450-749cc,Concrete Traffic Barrier,Two Wheel Motorcycle (excluding motor scooters)
Hawaii,150001,1,1,MAUI,Other,January,1,1,Saturday,2022,0,Urban,20.92930278,-156.6900667,Pedestrian,Dark - Lighted,Cloudy,Toyota Matrix,Motor Vehicle In-Transport,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")"
Hawaii,150002,2,1,MAUI,WAILUKU HAWAIIAN HOME LAND (HISTORICAL),January,1,1,Saturday,2022,1,Urban,20.87852222,-156.5076306,Curb,Dark - Not Lighted,Cloudy,Mazda Tribute,Motor Vehicle In-Transport,Two Wheel Motorcycle (excluding motor scooters)
Hawaii,150003,1,1,HONOLULU,HONOLULU,January,14,14,Friday,2022,22,Urban,21.32860556,-157.8864417,Pedestrian,Dark - Lighted,Clear,Toyota Tacoma,Motor Vehicle In-Transport,"Minivan (Chrysler Town and Country, Caravan, Grand Caravan, Voyager, Voyager, Honda-Odyssey, ...)"
Hawaii,150004,1,1,HAWAII,Other,January,9,9,Sunday,2022,20,Urban,20.00750833,-155.8140917,Pedestrian,Dark - Not Lighted,Clear,Toyota 4-Runner,Motor Vehicle In-Transport,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")"
Hawaii,150005,1,1,HAWAII,HILO,January,1,1,Saturday,2022,15,Rural,19.74390278,-155.4498333,Rollover/Overturn,Daylight,Rain,Nissan/Datsun Rogue ,Motor Vehicle In-Transport,"4-door sedan, hardtop"
Hawaii,150006,2,1,HONOLULU,PEARL CITY,January,22,22,Saturday,2022,0,Urban,21.434575,-157.9952667,Pedestrian,Dark - Lighted,Clear,Mazda Miata/MX-5,Rollover/Overturn,Light Pickup
Hawaii,150007,1,2,MAUI,KIHEI,January,24,24,Monday,2022,8,Urban,20.78843333,-156.4632333,Motor Vehicle In-Transport,Daylight,Clear,Dodge Medium/Heavy - CBE,Pedestrian,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")"
Hawaii,150008,1,1,MAUI,Other,January,29,29,Saturday,2022,22,Urban,20.88491667,-156.6850139,Pedalcyclist,Dark - Lighted,Clear,Toyota Camry,Pedalcyclist,Light Pickup
Hawaii,150009,1,3,HONOLULU,WAIMANALO,January,27,27,Thursday,2022,18,Urban,21.31528611,-157.663125,Motor Vehicle In-Transport,Dark - Not Lighted,Clear,Other Make 0-50cc,Motor Vehicle In-Transport,Motor Scooter
Hawaii,150010,3,1,HONOLULU,HONOLULU,January,29,29,Saturday,2022,1,Urban,21.327125,-157.8853278,Pedalcyclist,Dark - Lighted,Clear,GMC G-series van/Savana,Motor Vehicle In-Transport,Two Wheel Motorcycle (excluding motor scooters)
Hawaii,150011,1,1,HAWAII,CAPTAIN COOK,January,27,27,Thursday,2022,16,Rural,19.29959167,-155.8731611,Embankment,Daylight,Clear,Chrysler PT Cruiser,Pedestrian,"4-door sedan, hardtop"
Hawaii,150012,3,1,HONOLULU,Other,February,5,5,Saturday,2022,21,Urban,21.56809444,-157.8757,Other Object (not fixed),Dark - Lighted,Clear,Nissan/Datsun Frontier,Motor Vehicle In-Transport,Two Wheel Motorcycle (excluding motor scooters)
Hawaii,150013,1,1,HONOLULU,KANE`OHE,February,10,10,Thursday,2022,22,Urban,21.37986667,-157.8114194,Curb,Dark - Not Lighted,Clear,Hyundai Santa Fe,Motor Vehicle In-Transport,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")"
Hawaii,150014,6,3,HAWAII,Other,January,30,30,Sunday,2022,19,Rural,19.50485278,-155.1421056,Motor Vehicle In-Transport,Dark - Not Lighted,Cloudy,Mazda CX-9,Motor Vehicle In-Transport,"4-door sedan, hardtop"
Hawaii,150015,1,2,MAUI,KAHULUI,February,13,13,Sunday,2022,4,Urban,20.83398611,-156.4657111,Motor Vehicle In-Transport,Dark - Not Lighted,Rain,Yamaha 450-749cc,Motor Vehicle In-Transport,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")"
Hawaii,150016,2,2,HONOLULU,KANE`OHE,February,20,20,Sunday,2022,16,Urban,21.38925556,-157.7944611,Motor Vehicle In-Transport,Daylight,Clear,Gillig Other (bus),Rollover/Overturn,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")"
Hawaii,150017,1,2,HONOLULU,KAHUKU,February,12,12,Saturday,2022,21,Urban,21.673675,-157.9430028,Motor Vehicle In-Transport,Daylight,Clear,Chevrolet Fullsize Blazer/Tahoe,Motor Vehicle In-Transport,"4-door sedan, hardtop"
Hawaii,150018,1,1,HONOLULU,HONOLULU,February,18,18,Friday,2022,17,Urban,21.31599167,-157.8680611,Pedalcyclist,Daylight,Cloudy,Other Make 750cc or greater,Motor Vehicle In-Transport,Motor Scooter
Hawaii,150019,1,1,MAUI,PUKALANI,February,24,24,Thursday,2022,4,Urban,20.82900833,-156.3300944,Tree (Standing Only),Dark - Lighted,Clear,KIA Sedona,Pedestrian,Unknown body type
Hawaii,150020,1,1,HAWAII,CAPTAIN COOK,February,24,24,Thursday,2022,9,Trafficway Not in State Inventory,19.44130278,-155.8793833,"Cargo/Equipment Loss, Shift, or Damage [harmful]",Daylight,Clear,Ford F-Series pickup,Motor Vehicle In-Transport,"Minivan (Chrysler Town and Country, Caravan, Grand Caravan, Voyager, Voyager, Honda-Odyssey, ...)"
