year,duration,tre200m0,tre200mn,tre200mx,sre000m0,sremaxmv,rre150m0,record
2020,NA,18.67,9.23,31.33,231.04,54.33,112.93,FALSE
2024,NA,19.5,10.33,31.4,214.59,50.67,98.93,TRUE
